       1     614       1     159-1.18009 1.69603
       1     605       1     166-1.43779 1.69603
      15     656       0     161  .02248 -.60463
      15     632       0     164 -.66470 -.60463
      15     636       0     164 -.55017 -.60463
      15     640       0     171 -.42811 -.60463
      15     596       0     167-1.69548 -.60463
      15     593       0     162-1.79359 -.60463
      15     616       0     148-1.12283 -.60463
      15     610       0     148-1.29462 -.60463
      16     663       0     164  .22291 -.39868
      16     668       0     157  .36608 -.39868
      16     634       0     171 -.60744 -.39868
      16     669       0     165  .39471 -.39868
      16     637       0     148 -.52154 -.39868
      16     643       0     154 -.34974 -.39868
      16     705       0     167 1.42549 -.39868
      16     643       0     153 -.34974 -.39868
      16     680       0     167  .70967 -.39868
      16     625       0     159 -.86513 -.39868
      17     660       1     165  .13702  .04370
      17     693       1     169 1.08190  .04370
      17     629       1     151 -.75060  .04370
      17     691       1     155 1.02463  .04370
      17     683       1     165  .79795  .04370
      17     639       1     167 -.46427  .04370
      17     669       1     167  .39471  .04370
      17     612       1     155-1.23736  .04370
      17     614       1     158-1.18009  .04370
      17     637       1     150 -.52154  .04370
      18     620       0     170-1.00236 -.77601
      18     644       0     167 -.32111 -.77601
      18     608       0     151-1.35189 -.77601
      18     623       0     163 -.92240 -.77601
      18     607       0     161-1.38052 -.77601
      18     671       0     149  .45198 -.77601
      18     580       0     155-2.15361 -.77601
      18     595       0     150-1.72412 -.77601
      18     614       0     161-1.18009 -.77601
      18     598       0     167-1.63822 -.77601
      19     671       1     169  .45198  .71168
      19     652       1     154 -.09205  .71168
      19     625       1     149 -.86513  .71168
      19     662       1     169  .19428  .71168
      19     656       1     156  .01901  .71168
      19     673       1     153  .50924  .71168
      19     593       1     154-1.78138  .71168
      19     623       1     168 -.92240  .71168
      19     618       1     148-1.06556  .71168
      19     676       1     156  .59514  .71168
      20     643       1     153 -.34974  .75600
      20     676       1     151  .59514  .75600
      20     650       1     163 -.14931  .75600
      20     682       1     159  .76694  .75600
      20     654       1     158 -.03478  .75600
      20     629       1     166 -.75060  .75600
      20     647       1     151 -.23521  .75600
      20     625       1     169 -.86513  .75600
      20     643       1     161 -.34974  .75600
      20     627       1     169 -.80787  .75600
      21     658       0     152  .07975 -.79807
      21     637       0     153 -.52154 -.79807
      21     641       0     168 -.40701 -.79807
      21     682       0     170  .76694 -.79807
      21     676       0     153  .59514 -.79807
      21     711       0     158 1.59729 -.79807
      21     669       0     161  .39471 -.79807
      21     645       0     157 -.29248 -.79807
      21     662       0     171  .19428 -.79807
      21     623       0     160 -.92240 -.79807
      22     695       0     162 1.13916  .00000
      22     643       0     156 -.34974  .00000
      22     648       0     171 -.20658  .00000
      22     641       0     152 -.40701  .00000
      22     604       0     154-1.46642  .00000
      22     688       0     149  .93873  .00000
      22     605       0     169-1.43779  .00000
      22     646       0     165 -.26384  .00000
      22     646       0     161 -.26384  .00000
      22     648       0     168 -.20658  .00000
      23     616       0     153-1.12283 -.34465
      23     673       0     149  .50924 -.34465
      23     621       0     155 -.97966 -.34465
      23     686       0     168  .88147 -.34465
      23     646       0     162 -.25709 -.34465
      23     612       0     166-1.23736 -.34465
      23     716       0     150 1.74045 -.34465
      23     655       0     168 -.00615 -.34465
      23     662       0     167  .19428 -.34465
      23     695       0     164 1.13916 -.34465
      24     648       1     167 -.20658  .27278
      24     609       1     163-1.32326  .27278
      24     695       1     162 1.13916  .27278
      24     665       1     167  .28018  .27278
      24     649       1     162 -.17064  .27278
      24     630       1     164 -.72197  .27278
      24     686       1     168  .88147  .27278
      24     694       1     148 1.11053  .27278
      24     688       1     152  .93873  .27278
      24     585       1     155-2.01044  .27278
      25     608       1     153-1.35189 1.85864
      25     630       1     164 -.72197 1.85864
      25     630       1     161 -.72197 1.85864
      25     682       1     157  .76694 1.85864
      25     686       1     169  .88147 1.85864
      25     727       1     156 2.05541 1.85864
      25     557       1     149-2.81216 1.85864
      25     643       1     160 -.34974 1.85864
      25     648       1     164 -.20658 1.85864
      25     650       1     171 -.14931 1.85864
      26     740       0     163 2.43071  .00000
      26     634       0     163 -.60744  .00000
      26     737       0     163 2.34174  .00000
      26     654       0     157 -.03478  .00000
      26     670       0     161  .43097  .00000
      26     685       0     158  .85284  .00000
      26     655       0     169 -.00615  .00000
      26     599       0     154-1.60958  .00000
      26     700       0     161 1.27850  .00000
      26     633       0     157 -.63607  .00000
      27     680       1     168  .70967 1.34383
      27     724       1     160 1.96951 1.34383
      27     711       1     166 1.59729 1.34383
      27     682       1     171  .76694 1.34383
      27     705       1     171 1.42549 1.34383
      27     703       1     171 1.36823 1.34383
      27     688       1     170  .93873 1.34383
      27     668       1     151  .36608 1.34383
      27     671       1     158  .45198 1.34383
      27     631       1     157 -.69334 1.34383
      28     678       0     168  .64762 -.94676
      28     647       0     170 -.24281 -.94676
      28     637       0     168 -.52154 -.94676
      28     630       0     170 -.72197 -.94676
      28     691       0     170 1.02463 -.94676
      28     658       0     169  .07975 -.94676
      28     632       0     163 -.66470 -.94676
      28     636       0     167 -.55017 -.94676
      28     625       0     164 -.86513 -.94676
      28     658       0     169  .07975 -.94676
      29     610       1     153-1.29462 2.27339
      29     698       1     165 1.22506 2.27339
      29     625       1     168 -.86513 2.27339
      29     728       1     162 2.08405 2.27339
      29     629       1     148 -.75060 2.27339
      29     663       1     151  .22291 2.27339
      29     694       1     150 1.11053 2.27339
      29     700       1     164 1.26869 2.27339
      29     675       1     157  .57619 2.27339
      30     655       1     167 -.00615 1.69089
      30     616       1     156-1.12283 1.69089
      30     616       1     168-1.12283 1.69089
      30     700       1     166 1.28233 1.69089
      30     698       1     163 1.22506 1.69089
      30     629       1     160 -.75060 1.69089
      30     643       1     168 -.34974 1.69089
      30     691       1     167 1.02463 1.69089
      30     665       1     171  .28018 1.69089
      30     623       1     169 -.92240 1.69089
      31     648       0     163 -.20658 -.12556
      31     669       0     162  .39471 -.12556
      31     654       0     164 -.02760 -.12556
      31     636       0     163 -.55017 -.12556
      31     672       0     171  .48061 -.12556
      31     621       0     171 -.97966 -.12556
      31     632       0     160 -.66470 -.12556
      31     641       0     165 -.40701 -.12556
      31     623       0     162 -.92240 -.12556
      31     672       0     169  .48061 -.12556
      32     728       1     165 2.08405 1.26532
      32     666       1     157  .30881 1.26532
      32     733       1     160 2.22721 1.26532
      32     669       1     164  .39471 1.26532
      32     634       1     171 -.60744 1.26532
      32     636       1     162 -.55017 1.26532
      32     630       1     169 -.72197 1.26532
      32     585       1     158-2.01044 1.26532
      32     705       1     171 1.42549 1.26532
      32     629       1     150 -.75060 1.26532
      33     711       0     159 1.59729 -.97299
      33     691       0     169 1.02463 -.97299
      33     667       0     167  .33745 -.97299
      33     609       0     148-1.33380 -.97299
      33     650       0     168 -.14931 -.97299
      33     646       0     165 -.26384 -.97299
      33     656       0     169  .02248 -.97299
      33     684       0     169  .82420 -.97299
      33     669       0     169  .39471 -.97299
      33     639       0     163 -.46427 -.97299
      34     695       1     160 1.13916 1.74233
      34     691       1     155 1.02463 1.74233
      34     610       1     158-1.29462 1.74233
      34     651       1     170 -.12068 1.74233
      34     680       1     166  .70967 1.74233
      34     698       1     170 1.22506 1.74233
      34     688       1     170  .93873 1.74233
      34     691       1     168 1.02463 1.74233
      34     708       1     164 1.51139 1.74233
      34     685       1     159  .85284 1.74233
      35     637       0     158 -.52154 -.35630
      35     614       0     160-1.18009 -.35630
      35     700       0     166 1.28233 -.35630
      35     657       0     164  .05264 -.35630
      35     604       0     149-1.46642 -.35630
      35     635       0     157 -.57880 -.35630
      35     654       0     148 -.03478 -.35630
      35     679       0     153  .68104 -.35630
      36     640       0     167 -.44766 -.42267
      36     637       0     171 -.52154 -.42267
      36     618       0     170-1.06556 -.42267
      36     698       0     164 1.22506 -.42267
      36     607       0     162-1.38052 -.42267
      36     663       0     150  .22291 -.42267
      36     612       0     153-1.23736 -.42267
      36     706       0     154 1.45412 -.42267
      36     695       0     169 1.13916 -.42267
      36     648       0     165 -.20658 -.42267
      37     682       1     160  .76694  .97322
      37     691       1     166 1.02463  .97322
      37     662       1     166  .20721  .97322
      37     590       1     153-1.86728  .97322
      37     614       1     150-1.18009  .97322
      37     679       1     148  .68104  .97322
      37     671       1     154  .45198  .97322
      37     721       1     162 1.88362  .97322
      37     721       1     158 1.88362  .97322
      38     645       0     152 -.29248-1.37237
      38     644       0     164 -.32111-1.37237
      38     658       0     152  .07975-1.37237
      38     625       0     167 -.86513-1.37237
      38     704       0     168 1.40709-1.37237
      38     662       0     171  .19428-1.37237
      38     643       0     149 -.34974-1.37237
      38     607       0     166-1.38052-1.37237
      38     668       0     158  .36608-1.37237
      38     627       0     164 -.80787-1.37237
      39     610       0     155-1.29462 -.01643
      39     645       0     157 -.29248 -.01643
      39     708       0     165 1.51139 -.01643
      39     705       0     160 1.42549 -.01643
      39     663       0     163  .22723 -.01643
      39     667       0     171  .33745 -.01643
      39     714       0     168 1.68319 -.01643
      39     609       0     167-1.32326 -.01643
      39     682       0     165  .76694 -.01643
      39     706       0     149 1.45412 -.01643
      40     694       1     154 1.11053  .77685
      40     653       1     164 -.06341  .77685
      40     706       1     152 1.45412  .77685
      40     632       1     166 -.66470  .77685
      40     612       1     170-1.23736  .77685
      40     688       1     166  .93873  .77685
      40     623       1     168 -.92240  .77685
      40     644       1     168 -.32111  .77685
      40     711       1     167 1.59729  .77685
      40     604       1     152-1.46642  .77685
      41     665       1     164  .28018  .60097
      41     614       1     167-1.18009  .60097
      41     621       1     160 -.97966  .60097
      41     631       1     153 -.69334  .60097
      41     637       1     155 -.52154  .60097
      41     662       1     166  .19428  .60097
      41     629       1     163 -.75060  .60097
      41     688       1     163  .93873  .60097
      41     606       1     150-1.40915  .60097
      41     691       1     163 1.02463  .60097
      42     693       0     162 1.07002-1.05573
      42     614       0     171-1.18009-1.05573
      42     678       0     162  .65241-1.05573
      42     621       0     160 -.97966-1.05573
      42     619       0     160-1.04317-1.05573
      42     695       0     171 1.13916-1.05573
      42     661       0     157  .16565-1.05573
      42     612       0     153-1.23736-1.05573
      42     668       0     151  .36608-1.05573
      42     623       0     152 -.92240-1.05573
      43     644       0     167 -.32111-1.57947
      43     660       0     163  .13702-1.57947
      43     646       0     170 -.26384-1.57947
      43     619       0     164-1.03693-1.57947
      43     618       0     161-1.06556-1.57947
      43     621       0     153 -.97966-1.57947
      43     615       0     168-1.14089-1.57947
      43     694       0     151 1.11053-1.57947
      43     694       0     158 1.11053-1.57947
      43     614       0     164-1.18009-1.57947
      44     685       0     155  .85284-1.34613
      44     658       0     148  .07975-1.34613
      44     608       0     149-1.35189-1.34613
      44     639       0     157 -.46427-1.34613
      44     648       0     160 -.20658-1.34613
      44     648       0     163 -.20658-1.34613
      44     650       0     165 -.14931-1.34613
      44     625       0     170 -.86513-1.34613
      44     649       0     171 -.17664-1.34613
      44     675       0     162  .55222-1.34613
      45     668       1     156  .36608  .52107
      45     637       1     164 -.52154  .52107
      45     598       1     171-1.63822  .52107
      45     653       1     168 -.06341  .52107
      45     640       1     161 -.44380  .52107
      45     695       1     171 1.13916  .52107
      45     680       1     171  .70967  .52107
      45     669       1     162  .39471  .52107
      45     689       1     170  .95356  .52107
      45     634       1     161 -.60744  .52107
      46     698       1     169 1.22506  .27862
      46     754       1     156 2.82850  .27862
      46     735       1     159 2.28448  .27862
      46     695       1     166 1.13916  .27862
      46     618       1     168-1.06556  .27862
      46     663       1     165  .22291  .27862
      46     655       1     166 -.00615  .27862
      46     645       1     152 -.29248  .27862
      46     608       1     169-1.34635  .27862
      46     676       1     155  .59514  .27862
      47     688       0     171  .93873-1.95531
      47     650       0     170 -.14931-1.95531
      47     637       0     168 -.52585-1.95531
      47     616       0     158-1.12283-1.95531
      47     678       0     160  .65241-1.95531
      47     646       0     160 -.26384-1.95531
      47     655       0     169 -.00615-1.95531
      47     634       0     161 -.60744-1.95531
      47     643       0     164 -.34974-1.95531
      47     643       0     167 -.34974-1.95531
      48     663       1     167  .22291  .04735
      48     650       1     152 -.14931  .04735
      48     671       1     162  .45198  .04735
      48     614       1     164-1.18009  .04735
      48     678       1     167  .65241  .04735
      48     613       1     170-1.20467  .04735
      48     618       1     156-1.06556  .04735
      48     658       1     166  .07975  .04735
      48     614       1     164-1.18009  .04735
      48     655       1     168 -.00615  .04735
      49     632       0     167 -.66855 -.22966
      49     625       0     151 -.86513 -.22966
      49     658       0     170  .07975 -.22966
      49     673       0     150  .50924 -.22966
      49     685       0     149  .85284 -.22966
      49     667       0     166  .33745 -.22966
      49     694       0     150 1.11053 -.22966
      49     667       0     167  .33745 -.22966
      49     704       0     169 1.39301 -.22966
      49     641       0     165 -.40701 -.22966
      50     610       1     149-1.29462  .00000
      50     693       1     170 1.08190  .00000
      50     656       1     156  .02248  .00000
      50     618       1     170-1.06556  .00000
      50     641       1     170 -.40701  .00000
      50     629       1     154 -.75060  .00000
      50     616       1     150-1.12283  .00000
      50     691       1     159 1.02463  .00000
      50     672       1     164  .48061  .00000
      50     721       1     149 1.88362  .00000
      51     698       0     159 1.22506-2.67144
      51     656       0     163  .02248-2.67144
      51     629       0     148 -.75060-2.67144
      51     674       0     167  .54125-2.67144
      51     657       0     167  .05679-2.67144
      51     658       0     165  .06805-2.67144
      51     695       0     166 1.13240-2.67144
      51     693       0     168 1.08190-2.67144
      51     621       0     168 -.97966-2.67144
      51     674       0     166  .53787-2.67144
      52     651       1     168 -.12068 1.01530
      52     646       1     162 -.26384 1.01530
      52     661       1     151  .16565 1.01530
      52     653       1     168 -.06341 1.01530
      52     627       1     156 -.80787 1.01530
      52     686       1     163  .88147 1.01530
      52     701       1     170 1.31620 1.01530
      52     728       1     170 2.08405 1.01530
      52     663       1     161  .22291 1.01530
      52     721       1     164 1.88362 1.01530
